date,lat,lon,tasmax,GFDL-CM4,GISS-E2-1-G,BCC-CSM2-MR,BCC-ESM1,SAM0-UNICON,CanESM5,INM-CM4-8,INM-CM5-0,GFDL-ESM4,NorESM2-LM,FGOALS-g3,FGOALS-f3-L,NorESM2-MM,KIOST-ESM,TaiESM1,NorCPM1,CMCC-ESM2
1985-03-06 12:00:00,29.500000000000004,-90.625,287.9778,287.9778,289.06,290.24463,286.3383,295.341,293.21863,291.3734,295.0638,294.26077,295.33087,292.77567,291.40805,282.9774,292.84518,289.06506,291.70105,289.193
1985-03-07 12:00:00,29.500000000000004,-90.625,290.118,290.118,289.5303,291.76794,289.0552,295.65216,294.31467,294.36353,295.60324,296.9967,295.39594,291.49142,294.14587,289.02536,292.43643,291.12683,289.79404,288.0629
1985-03-08 12:00:00,29.500000000000004,-90.625,285.63947,285.63947,290.32724,296.87753,290.69897,294.90604,294.84412,295.60614,295.988,297.00955,295.83423,289.29584,292.9755,291.63177,288.424,293.31924,289.15295,289.65854
1985-03-09 12:00:00,29.500000000000004,-90.625,283.51785,283.51785,290.10736,293.47906,289.7428,295.4948,294.6925,295.60263,293.23303,294.65744,296.41806,288.2128,289.28537,294.92114,289.83463,292.33463,290.45236,290.67535
1985-03-10 12:00:00,29.500000000000004,-90.625,282.7847,282.7847,291.10074,295.40332,287.20578,295.0242,294.32883,295.60468,293.64172,288.81876,296.27356,289.743,289.89438,293.39944,288.37128,293.68222,291.14426,291.38724
1985-03-11 12:00:00,29.500000000000004,-90.625,281.69827,281.69827,290.62897,296.12494,286.17102,296.73392,291.05325,295.51532,294.75726,287.5905,296.09262,288.2504,291.20346,294.12933,289.28928,294.7405,291.26785,290.99417
1985-03-12 12:00:00,29.500000000000004,-90.625,282.22934,282.22934,290.29965,294.12637,288.27148,295.3418,294.2831,295.62103,294.83487,288.42578,295.6663,283.15793,291.14383,292.88184,288.1629,294.9428,292.32062,291.17886
1985-03-13 12:00:00,29.500000000000004,-90.625,286.09674,286.09674,289.42627,288.76974,289.47287,295.98422,296.1657,295.59833,295.008,286.68713,295.2332,288.32947,292.00766,293.97305,289.40878,295.2431,290.87247,291.79056
1985-03-14 12:00:00,29.500000000000004,-90.625,288.7772,288.7772,290.38254,292.3695,289.72256,296.21506,297.78888,293.4009,294.8844,283.74878,294.75302,290.67264,291.40265,294.52603,288.78738,295.0459,290.4278,292.3862
1985-03-15 12:00:00,29.500000000000004,-90.625,291.96643,291.96643,290.664,294.5235,289.6294,291.95154,297.12994,292.69516,294.94537,284.5223,292.44925,291.701,291.02628,294.2165,290.37692,291.31998,291.26187,291.13675
1985-03-16 12:00:00,29.500000000000004,-90.625,292.6712,292.6712,291.86707,294.79788,291.28278,294.88538,290.40445,294.65695,292.81528,289.35193,288.48694,290.87332,290.65683,293.69357,291.3516,288.4665,291.96786,283.9709
1985-03-17 12:00:00,29.500000000000004,-90.625,292.3228,292.3228,293.82977,297.33624,291.0791,295.18924,285.94348,294.64865,291.14948,291.9363,290.30948,290.7231,289.1156,295.04865,292.82126,289.98184,291.9035,283.23978
1985-03-18 12:00:00,29.500000000000004,-90.625,294.85828,294.85828,292.93445,293.64026,292.40988,297.13483,286.4001,295.94318,287.9286,290.02396,291.66873,292.54965,290.02765,294.94684,292.92184,290.86475,290.51474,281.2159
1985-03-19 12:00:00,29.500000000000004,-90.625,294.79034,294.79034,291.54922,290.61755,291.47873,297.1084,287.72327,295.9616,289.10974,294.91733,293.0876,292.95822,291.70358,294.78104,292.46677,291.38406,290.44208,288.66583
1985-03-20 12:00:00,29.500000000000004,-90.625,294.54163,294.54163,286.97934,294.2977,290.2002,295.43497,289.88373,291.61295,291.65488,294.3581,294.49637,291.42654,293.01932,294.12445,292.15085,291.49185,291.46298,291.99307
1985-03-21 12:00:00,29.500000000000004,-90.625,291.74142,291.74142,287.16364,295.56976,290.86237,290.14508,292.4237,295.83917,294.66946,293.1826,294.84268,285.44122,290.89102,290.2273,294.54556,293.75043,293.0675,292.7741
1985-03-22 12:00:00,29.500000000000004,-90.625,288.47513,288.47513,289.6323,294.99142,290.9993,290.30945,293.73105,295.89954,295.18185,294.55145,295.70035,287.13116,294.24808,292.77982,293.56476,293.4308,295.23477,291.17313
1985-03-23 12:00:00,29.500000000000004,-90.625,290.81604,290.81604,290.67572,291.03064,294.05054,294.19922,294.54108,292.46542,295.08685,293.62128,295.3845,290.1054,294.398,294.82675,292.03235,292.48502,293.6374,287.60495
1985-03-24 12:00:00,29.500000000000004,-90.625,294.38553,294.38553,291.6232,287.75848,293.4577,295.1676,293.6697,295.76642,295.70712,288.39978,294.70035,290.54575,295.27826,293.2989,291.5408,294.62265,292.4285,286.82126
1985-03-25 12:00:00,29.500000000000004,-90.625,294.0056,294.0056,291.7885,287.9651,291.38202,296.09494,295.6828,296.17178,295.51523,293.52344,291.0761,291.88876,295.5175,291.53564,288.4376,295.62665,293.3743,287.1923
1985-03-26 12:00:00,29.500000000000004,-90.625,290.87097,290.87097,291.7024,286.34875,289.85703,296.30112,295.16144,294.18805,295.3571,293.25876,292.93927,291.94504,295.45544,295.2453,291.72772,295.93216,294.37564,289.22858
1985-03-27 12:00:00,29.500000000000004,-90.625,286.064,286.064,291.1529,284.90527,290.58572,295.58466,294.74408,293.05847,293.2445,294.70178,292.65506,291.40094,295.81293,296.03647,292.6138,295.78943,294.61646,291.10306
1985-03-28 12:00:00,29.500000000000004,-90.625,291.1038,291.1038,291.1532,283.58575,290.31042,296.29675,290.4338,290.8402,291.25104,289.04422,288.58475,291.5427,294.5181,294.80496,291.9306,291.81464,293.45084,291.6567
1985-03-29 12:00:00,29.500000000000004,-90.625,293.6955,293.6955,291.4299,288.9223,288.41064,295.8778,291.6702,292.48386,294.39062,287.1082,291.40762,291.66086,295.25632,291.09854,290.80252,289.45468,285.61566,292.53458
1985-03-30 12:00:00,29.500000000000004,-90.625,294.34225,294.34225,292.7843,291.90326,289.95575,296.77905,292.99548,292.82355,294.65955,290.06018,293.11176,292.0691,294.7939,288.52853,291.76077,292.48825,290.44324,292.6498
1985-03-31 12:00:00,29.500000000000004,-90.625,293.06802,293.06802,292.85556,291.1332,292.51166,296.63693,292.8763,294.28595,294.55914,288.62854,293.69638,292.33282,295.20035,290.9467,292.31882,289.09265,292.55106,294.2604
1985-04-01 12:00:00,29.500000000000004,-90.625,294.4444,294.4444,292.72885,293.72662,291.87296,296.628,292.945,294.5722,290.8354,288.8776,294.71573,291.97064,294.83926,294.283,295.56647,285.99716,293.76587,294.37088
1985-04-02 12:00:00,29.500000000000004,-90.625,293.83456,293.83456,292.72662,297.00082,291.18924,297.8986,293.3332,294.75015,290.98288,289.67557,295.5397,291.3412,294.61133,296.02188,294.8833,289.7773,293.44003,292.59018
1985-04-03 12:00:00,29.500000000000004,-90.625,293.0744,293.0744,292.5546,297.99515,290.9203,298.27518,294.1066,294.87552,291.66907,291.00906,295.52188,290.7541,291.60953,294.90848,295.06082,293.07693,292.78223,292.19522
1985-04-04 12:00:00,29.500000000000004,-90.625,295.94193,295.94193,291.86508,296.34668,292.44073,296.0798,293.72632,294.5819,293.30692,292.35654,295.74725,290.39996,293.66803,294.79108,294.92966,293.86734,292.6505,293.19043
1985-04-05 12:00:00,29.500000000000004,-90.625,295.92538,295.92538,286.90723,292.14154,293.29095,293.59326,293.2521,294.55112,293.4983,291.9915,295.86127,291.7143,294.77054,295.46643,292.3375,294.27246,294.14438,293.884
1985-04-06 12:00:00,29.500000000000004,-90.625,296.86688,296.86688,288.19272,294.28006,292.56583,296.39844,292.09705,294.02048,292.28302,296.245,295.85797,292.41287,294.00665,294.44333,288.93588,294.14468,294.18906,294.18747
1985-04-07 12:00:00,29.500000000000004,-90.625,296.86182,296.86182,290.84213,296.15567,292.82343,296.31985,293.47482,293.90332,289.83356,294.2454,295.76837,292.85834,291.15088,294.5829,293.2906,291.6984,293.26517,293.91205
1985-04-08 12:00:00,29.500000000000004,-90.625,297.0667,297.0667,290.9551,296.5001,291.88477,295.2923,293.69296,293.69162,290.46857,292.6036,297.163,292.84488,293.7485,294.62463,294.37524,292.415,294.61334,294.5733
1985-04-09 12:00:00,29.500000000000004,-90.625,297.3706,297.3706,290.20657,297.97485,289.37164,293.0929,294.0069,294.05054,291.5418,293.83218,298.1053,293.34232,294.73804,296.24402,292.72336,293.04022,293.75806,294.96118
1985-04-10 12:00:00,29.500000000000004,-90.625,297.2591,297.2591,291.2836,297.564,290.94403,294.79498,293.58716,294.75943,293.09927,293.04327,298.01913,293.99158,295.5268,296.21234,290.8012,294.17072,292.28302,295.07983
1985-04-11 12:00:00,29.500000000000004,-90.625,297.51074,297.51074,291.16446,298.98184,292.0776,295.26254,295.3692,295.13574,293.97354,295.0588,297.68835,294.27734,294.51077,296.3981,290.42908,294.997,294.35876,294.40237
1985-04-12 12:00:00,29.500000000000004,-90.625,297.74475,297.74475,292.05838,298.83954,293.03925,295.50775,295.33054,295.36697,294.56873,297.20526,297.31866,294.25443,294.44955,297.65378,292.48093,294.7483,294.3109,295.22134
1985-04-13 12:00:00,29.500000000000004,-90.625,297.43533,297.43533,291.90305,297.5322,293.8105,296.40344,294.92755,295.34045,294.84317,295.83484,295.8619,294.50812,294.59964,296.51624,291.83078,294.42023,293.24484,295.2564
1985-04-14 12:00:00,29.500000000000004,-90.625,295.9204,295.9204,292.9494,299.0126,293.13895,298.4495,295.4701,295.6138,294.91254,293.43427,296.09964,294.52023,295.53268,295.45508,291.6406,293.93585,293.5381,295.02002
1985-04-15 12:00:00,29.500000000000004,-90.625,294.34225,294.34225,293.9506,295.77618,294.39856,297.92667,295.20828,296.05884,295.10397,292.5199,295.6774,294.93774,295.94186,295.6235,290.59967,293.45224,293.91565,295.27832
1985-04-16 12:00:00,29.500000000000004,-90.625,293.42694,293.42694,293.6195,296.17972,295.21207,297.8824,295.28198,296.12268,295.2129,294.94186,295.59515,293.82166,296.61295,295.0617,292.5526,294.64777,295.35687,295.81546
1985-04-17 12:00:00,29.500000000000004,-90.625,294.80658,294.80658,293.63205,295.49335,294.73355,296.80194,294.84158,296.07202,294.78784,297.09723,295.5782,293.61935,296.0352,296.12717,292.22894,294.66476,294.585,295.46786
1985-04-18 12:00:00,29.500000000000004,-90.625,295.56668,295.56668,294.43225,294.5091,293.4652,296.80978,295.0166,296.1087,292.49567,297.11795,295.14392,293.16034,294.96854,295.7871,294.15283,292.85416,293.76944,295.81143
1985-04-19 12:00:00,29.500000000000004,-90.625,294.99942,294.99942,293.9728,297.9643,293.6051,297.59085,295.24817,295.8776,295.13617,297.45685,294.75803,293.8786,295.16678,296.697,295.98492,288.37894,294.79218,296.41556
1985-04-20 12:00:00,29.500000000000004,-90.625,288.1721,288.1721,293.82797,297.35068,294.70898,298.9884,295.05685,295.99414,295.78424,297.22794,296.09308,294.44623,296.4219,295.5458,295.1247,291.11664,294.5375,296.76303
1985-04-21 12:00:00,29.500000000000004,-90.625,294.19345,294.19345,292.3631,296.8804,294.1719,299.2284,296.713,296.70456,295.60385,298.36954,297.41708,294.21973,296.05173,293.25296,293.04208,293.76007,294.49133,296.7533
1985-04-22 12:00:00,29.500000000000004,-90.625,297.0054,297.0054,292.31042,296.94656,295.24673,299.16122,296.87378,296.64893,295.48257,298.92923,297.90652,294.24432,296.74402,295.34866,290.18777,294.1217,294.16,297.0156
1985-04-23 12:00:00,29.500000000000004,-90.625,295.893,295.893,293.26785,300.72275,294.5103,298.44022,297.0046,296.72952,295.78925,297.57385,297.15823,294.41016,295.0522,297.12628,292.5212,294.34872,295.11884,297.1125
1985-04-24 12:00:00,29.500000000000004,-90.625,294.32675,294.32675,293.83292,301.22165,294.10742,296.1492,296.60974,296.9961,295.92688,295.3653,296.18335,296.11343,291.4023,296.92154,293.60413,294.4173,295.61725,296.92612
1985-04-25 12:00:00,29.500000000000004,-90.625,295.5489,295.5489,293.64944,298.83698,294.7121,296.81787,296.48773,296.68497,295.8849,294.48495,295.81454,296.48953,289.79556,297.52295,293.4103,295.0278,296.08087,296.7667
