date,height,lat,lon,tas,GFDL-CM4,BCC-CSM2-MR,BCC-ESM1,CESM2-WACCM,CESM2,SAM0-UNICON,CanESM5,INM-CM4-8,INM-CM5-0,GFDL-ESM4,NorESM2-LM,FGOALS-g3,FGOALS-f3-L,NorESM2-MM,CESM2-FV2,KIOST-ESM,CMCC-CM2-SR5,TaiESM1,NorCPM1,IPSL-CM5A2-INCA,CMCC-CM2-HR4,CMCC-ESM2
1985-03-01 12:00:00,2.0,29.000000000000004,-91.25,288.95908,288.95908,286.12924,285.02066,292.0065,289.1079,289.379,289.9119,293.34103,293.65448,285.337,290.49844,290.26434,289.4277,287.3105,287.16943,294.52112,283.37704,287.3276,282.3822,288.65546,288.3687,289.56512
1985-03-02 12:00:00,2.0,29.000000000000004,-91.25,289.90796,289.90796,287.84695,287.75418,292.00623,287.45792,285.67477,285.2659,293.32346,294.04303,281.0276,291.2345,290.33377,289.24097,290.72397,287.18787,293.1308,285.42834,281.29102,285.18527,290.256,290.47366,286.2131
1985-03-03 12:00:00,2.0,29.000000000000004,-91.25,292.74686,292.74686,289.4339,289.9575,293.11234,291.00772,288.67773,287.1498,289.49982,294.5311,285.63623,291.8515,290.17264,289.5443,291.9481,289.8617,289.706,287.72113,283.21136,289.14243,292.9983,291.07034,281.99713
1985-03-04 12:00:00,2.0,29.000000000000004,-91.25,292.25034,292.25034,289.86182,290.18118,292.91718,293.6024,291.01926,290.43338,285.29343,294.46222,290.6983,292.3672,290.29343,290.4915,285.73605,291.31772,288.99167,289.3869,287.2574,291.71237,294.29657,291.11847,284.36798
1985-03-05 12:00:00,2.0,29.000000000000004,-91.25,290.63745,290.63745,289.3494,284.2853,293.02203,294.11398,290.34955,291.22714,286.68576,294.81152,292.3694,293.3692,290.4591,290.28876,278.0965,292.0223,292.64792,290.811,288.4094,291.46002,290.5683,291.48544,287.81677
1985-03-06 12:00:00,2.0,29.000000000000004,-91.25,285.5972,285.5972,289.10944,283.79968,293.43094,293.3084,290.4684,292.22354,289.83926,294.8875,292.64038,294.14783,290.9355,288.33597,278.8962,292.0441,290.55716,291.08368,289.06506,289.1255,289.81873,290.69394,287.7205
1985-03-07 12:00:00,2.0,29.000000000000004,-91.25,289.88498,289.88498,290.21313,285.49805,293.795,292.83313,290.34915,293.07654,293.6311,295.17642,293.52554,294.51633,287.47586,289.84604,287.02274,292.30707,288.73984,292.30774,291.12683,288.84845,286.18222,284.96362,283.1737
1985-03-08 12:00:00,2.0,29.000000000000004,-91.25,283.82437,283.82437,292.7387,287.75076,294.14093,293.04742,290.74197,293.6371,294.9796,294.9541,295.1288,294.84113,286.84177,291.73773,287.88174,292.6963,285.79376,292.94794,293.31924,287.96896,286.811,291.07983,285.1742
1985-03-09 12:00:00,2.0,29.000000000000004,-91.25,282.18533,282.18533,290.37527,288.21213,294.48807,292.83148,291.33923,293.67447,295.45642,292.4154,287.9672,295.09158,285.42587,285.422,292.30417,292.93176,284.71793,292.19144,292.33463,288.60458,291.64322,291.80658,287.62766
1985-03-10 12:00:00,2.0,29.000000000000004,-91.25,281.21072,281.21072,289.77203,285.97604,293.72122,293.80527,291.93274,292.40927,295.44095,292.03015,285.12894,295.30463,287.15408,286.58063,292.76483,293.38834,284.78897,290.6161,293.68222,289.936,294.47104,292.22073,288.1826
1985-03-11 12:00:00,2.0,29.000000000000004,-91.25,280.76593,280.76593,290.903,284.53308,294.4507,295.6294,292.04895,289.8404,295.19324,294.48807,283.94476,295.0441,281.69376,288.9018,292.26913,293.12885,282.71634,290.8275,294.7405,290.15024,293.74158,292.8068,288.5393
1985-03-12 12:00:00,2.0,29.000000000000004,-91.25,279.48416,279.48416,287.57114,285.0006,296.18472,296.26425,291.60358,292.01556,295.03043,294.4583,284.71796,295.1816,280.93216,289.75558,289.9032,294.1171,283.56146,290.11038,294.9428,290.2376,292.48557,293.47797,288.87695
1985-03-13 12:00:00,2.0,29.000000000000004,-91.25,284.4012,284.4012,282.41946,287.54147,296.24847,293.53763,292.3418,294.44214,294.0421,294.55035,284.0577,294.75943,284.67606,289.19574,291.02902,294.85837,286.2809,288.73886,295.2431,288.51318,292.61417,293.26587,289.46878
1985-03-14 12:00:00,2.0,29.000000000000004,-91.25,285.4839,285.4839,286.83856,288.7019,294.92386,287.99072,292.69873,295.87903,291.9413,293.758,281.6683,293.75745,288.00974,285.33246,292.5636,295.66718,288.0524,289.71683,295.0459,288.56287,293.2143,293.21356,290.18127
1985-03-15 12:00:00,2.0,29.000000000000004,-91.25,288.4978,288.4978,291.61755,289.5018,294.08118,288.91757,290.26532,292.67926,292.01703,293.83908,280.714,287.81808,289.72,286.91895,292.9981,294.49615,286.1935,291.7729,291.31998,289.40427,292.29285,287.0256,289.70966
1985-03-16 12:00:00,2.0,29.000000000000004,-91.25,289.91986,289.91986,291.97913,290.34192,294.10803,288.7165,289.30658,287.31818,293.72806,290.23956,283.50598,286.69012,288.73737,286.81577,292.28735,294.5249,286.0051,292.04547,288.4665,289.90662,289.71466,286.98206,281.1522
1985-03-17 12:00:00,2.0,29.000000000000004,-91.25,290.3342,290.3342,293.36353,289.49716,295.5443,289.94916,292.31195,284.73862,294.54883,287.7126,289.57214,288.85773,289.24228,286.45688,292.66275,295.53146,286.77213,291.6755,289.98184,290.11255,292.71454,291.4527,281.05017
1985-03-18 12:00:00,2.0,29.000000000000004,-91.25,292.33356,292.33356,287.81128,289.3364,295.93103,290.80093,294.81464,285.20825,295.7636,286.80286,286.4343,289.71432,290.95294,287.9032,292.582,295.45126,288.38757,291.5163,290.86475,289.18658,293.0396,292.48853,278.22638
1985-03-19 12:00:00,2.0,29.000000000000004,-91.25,293.67737,293.67737,286.1361,289.78653,288.1415,292.65826,294.8166,286.31116,290.4993,288.37177,290.00302,291.2349,291.57855,289.60004,293.32626,295.45828,289.6285,291.45706,291.38406,289.6421,287.4968,292.3057,284.71066
1985-03-20 12:00:00,2.0,29.000000000000004,-91.25,292.12454,292.12454,289.1877,289.399,286.40216,296.3627,293.65927,287.49295,290.60883,290.6733,291.07074,292.80423,286.8747,290.95575,290.73584,295.7448,289.55542,290.3018,291.49185,290.56906,285.3595,290.07956,289.6742
1985-03-21 12:00:00,2.0,29.000000000000004,-91.25,290.02036,290.02036,292.6125,289.55423,290.1879,294.51038,285.5499,290.1741,294.73212,293.58786,289.03995,293.6261,282.9618,287.11996,287.28067,295.88074,291.63623,291.26215,293.75043,292.42322,279.16998,284.41464,291.53088
1985-03-22 12:00:00,2.0,29.000000000000004,-91.25,285.34473,285.34473,292.43018,289.54343,293.9178,293.46512,284.986,291.80667,292.86194,294.8745,291.41568,294.2552,284.38797,291.24103,289.0651,295.8983,292.37302,291.96927,293.4308,293.36026,282.76483,284.8721,285.1704
1985-03-23 12:00:00,2.0,29.000000000000004,-91.25,288.77478,288.77478,287.35556,291.73898,293.5522,293.57416,288.5555,292.91687,291.4883,294.1875,287.68036,294.3411,286.861,291.8032,291.70074,295.78745,291.78937,288.97025,292.48502,292.228,288.53622,286.6058,284.6044
1985-03-24 12:00:00,2.0,29.000000000000004,-91.25,293.15137,293.15137,283.42126,291.63306,295.40826,294.09113,291.8434,292.39706,294.8067,295.30844,284.68546,292.1508,288.3555,292.61145,284.6614,295.5126,287.187,287.8042,294.62265,291.8079,290.10126,288.4625,285.53574
1985-03-25 12:00:00,2.0,29.000000000000004,-91.25,292.50385,292.50385,284.1835,288.9978,295.65027,288.6951,290.96097,293.8365,295.2388,295.23508,288.62415,288.8137,290.16248,293.53568,287.93985,295.61047,285.64395,286.97385,295.62665,292.40298,292.0686,289.80484,285.06863
1985-03-26 12:00:00,2.0,29.000000000000004,-91.25,286.30246,286.30246,283.23187,289.20218,295.79807,290.4906,291.23288,294.1633,292.39896,293.18427,291.5806,290.2739,290.49655,293.5653,293.1151,295.7517,286.17276,288.1773,295.93216,293.1485,294.06824,292.9344,286.56653
1985-03-27 12:00:00,2.0,29.000000000000004,-91.25,284.76178,284.76178,280.4791,290.2254,295.79602,290.7063,292.24194,290.6148,289.4143,290.92694,293.15823,289.07675,290.42575,293.73898,294.37064,295.51178,287.29745,290.18127,295.78943,292.79233,289.50354,289.0332,288.20346
1985-03-28 12:00:00,2.0,29.000000000000004,-91.25,288.33325,288.33325,278.6662,289.31662,295.96475,290.59488,293.30908,289.01288,289.2313,290.25092,284.11105,286.7907,289.7385,293.4925,292.48688,295.3865,288.6782,291.37405,291.81464,287.24454,288.98743,290.417,289.65536
1985-03-29 12:00:00,2.0,29.000000000000004,-91.25,291.86032,291.86032,281.86954,287.31778,296.69437,283.93655,293.53558,289.58514,291.5868,292.94095,284.22864,289.20145,289.978,293.81934,286.1739,295.1597,288.99182,291.65588,289.45468,283.08847,288.21606,288.73505,290.5342
1985-03-30 12:00:00,2.0,29.000000000000004,-91.25,292.41827,292.41827,284.78442,287.29712,295.9658,286.01056,293.48257,291.21088,292.38818,294.268,286.91174,291.51138,290.65488,291.9837,288.15076,295.32248,291.23502,291.94748,292.48825,286.97354,288.66006,287.5141,291.66318
1985-03-31 12:00:00,2.0,29.000000000000004,-91.25,290.20578,290.20578,287.36127,289.2339,293.0527,289.81015,293.46173,291.6435,293.31042,291.34238,286.4127,292.44385,290.96777,293.1413,288.5192,295.42206,291.79816,292.22052,289.09265,290.67078,291.53378,287.88022,292.23376
